COUNTRY;LAT;LNG
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
USA;37.09024;-95.712891
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
UK;55.378051;-3.435973
